id,english,part_of_speech,level,translation_fr,family
69.0,actually,adverb,A2,en réalité,descriptions_general
70.0,acute,adjective,C1,aigu,descriptions_general
71.0,ad,noun,B1,publicité,general
72.0,adapt,verb,B2,adapter,actions_general
73.0,adaptation,noun,C1,adaptation,general
74.0,add,verb,A1,rajouter,actions_general
75.0,addiction,noun,B2,addiction,general
76.0,addition,noun,B1,addition,general
77.0,additional,adjective,B2,supplémentaire,descriptions_general
78.0,additionally,adverb,B2,en plus,descriptions_general
79.0,address,"noun, verb",A1,adresse,actions_general
80.0,adequate,adjective,B2,convenable,descriptions_general
81.0,adequately,adverb,B2,proprement,descriptions_general
82.0,adhere,verb,C1,adhérer,actions_general
83.0,adjacent,adjective,C1,adjacent,descriptions_general
84.0,adjust,verb,B2,rajuster,actions_general
85.0,adjustment,noun,C1,transformation,general
86.0,administer,verb,C1,administrer,actions_general
87.0,administration,noun,B2,administration,general
88.0,administrative,adjective,C1,administratif,work_career
89.0,administrator,noun,C1,administrateur,work_career
90.0,admire,verb,B1,admirer,actions_general
91.0,admission,noun,C1,admission,general
92.0,admit,verb,B1,admettre,actions_general
93.0,adolescent,noun,C1,adolescent,general
94.0,adopt,verb,B2,adopter,actions_general
95.0,adoption,noun,C1,adoption,general
96.0,adult,"adjective, noun",A1,adulte,descriptions_general
97.0,advance,"adjective, noun, verb",B2,avancée / avancer,descriptions_general
98.0,advanced,adjective,B1,avancé,descriptions_general
99.0,advantage,noun,A2,avantage,general
100.0,adventure,noun,A2,aventure,general
101.0,adverse,adjective,C1,défavorable / contraire,descriptions_general
102.0,advertise,verb,A2,faire de la publicité,actions_general
103.0,advertisement,noun,A2,réclame,general
104.0,advertising,noun,A2,publicité,general
105.0,advice,noun,A1,conseil,general
106.0,advise,verb,B1,conseiller,actions_general
107.0,advocate,"noun, verb",C1,défenseur,actions_general
108.0,aesthetic,adjective,C1,esthétique,descriptions_general
109.0,affair,noun,B2,affaire,general
110.0,affect,verb,A2,affecter,actions_general
111.0,affection,noun,C1,affection,general
112.0,afford,verb,B1,,actions_general
113.0,affordable,adjective,B2,,descriptions_general
114.0,afraid,adjective,A1,effrayé / apeuré,emotions_qualities
115.0,after,"adverb, conjunction, preposition",A1,après,descriptions_general
116.0,aftermath,noun,C1,conséquences,general
117.0,afternoon,noun,A1,après-midi,general
118.0,afterwards,adverb,B2,ensuite,descriptions_general
119.0,again,adverb,A1,encore,descriptions_general
120.0,against,preposition,A2,contre,grammar_function_words
121.0,age,"noun, verb",A1,âge,actions_general
122.0,aged,adjective,B1,vieux,descriptions_general
123.0,agency,noun,B2,agence,general
124.0,agenda,noun,B2,ordre du jour,general
125.0,agent,noun,B1,agent,general
126.0,aggression,noun,C1,agression,general
127.0,aggressive,adjective,B2,agressif,descriptions_general
128.0,ago,adverb,A1,il y a,descriptions_general
129.0,agree,verb,A1,être d’accord,actions_general
130.0,agreement,noun,B1,accord,general
131.0,agricultural,adjective,C1,agricole,energy_environment
132.0,agriculture,noun,B2,agriculture,energy_environment
133.0,ah,exclamation,A2,,grammar_function_words
134.0,ahead,adverb,B1,en avance,descriptions_general
135.0,aid,"noun, verb",B2,aide,actions_general
136.0,aide,noun,C1,assistant,general
137.0,aids,noun,B2,sida,general
138.0,aim,"noun, verb",B1,objectif,actions_general
139.0,air,noun,A1,air,general
140.0,aircraft,noun,B2,aéronef,travel_transport
141.0,airline,noun,A2,ligne aérienne,travel_transport
142.0,airport,noun,A1,aéroport,travel_transport
143.0,alarm,"noun, verb",B1,alarme,actions_general
144.0,albeit,conjunction,C1,,grammar_function_words
145.0,album,noun,B1,album,general
146.0,alcohol,noun,B1,alcool,general
147.0,alcoholic,adjective,B1,alcoolisé,descriptions_general
148.0,alert,"adjective, noun, verb",C1,alerte,descriptions_general
149.0,alien,"adjective, noun",B2,étranger / extraterrestre,descriptions_general
150.0,align,verb,C1,aligner,actions_general
151.0,alignment,noun,C1,alignement,general
152.0,alike,"adjective, adverb",C1,semblable,descriptions_general
153.0,alive,adjective,A2,vivant,descriptions_general
154.0,all,"adverb, determiner, pronoun",A1,tout,descriptions_general
155.0,all right,"adjective, adverb, exclamation",A2,,descriptions_general
156.0,allegation,noun,C1,plainte,general
157.0,allege,verb,C1,alléguer,actions_general
158.0,allegedly,adverb,C1,prétendument,descriptions_general
159.0,alliance,noun,C1,alliance,general
160.0,allocate,verb,C1,allouer,actions_general
161.0,allocation,noun,C1,allocation,general
162.0,allow,verb,A2,permettre,actions_general
163.0,allowance,noun,C1,revenu,general
164.0,ally,noun,C1,allié,general
165.0,almost,adverb,A2,quasiment,descriptions_general
166.0,alone,"adjective, adverb",A2,seul,descriptions_general
167.0,along,"adverb, preposition",A2,,descriptions_general
168.0,alongside,preposition,B2,,grammar_function_words
169.0,already,adverb,A2,déjà,descriptions_general
170.0,also,adverb,A1,aussi / également,descriptions_general
171.0,alter,verb,B2,transformer,actions_general
172.0,alternative,"adjective, noun",A2,alternatif,descriptions_general
173.0,although,conjunction,A2,,grammar_function_words
174.0,altogether,adverb,B2,totalement,descriptions_general
175.0,aluminium,noun,C1,aluminium,general
176.0,always,adverb,A1,toujours,descriptions_general
177.0,amateur,"adjective, noun",C1,amateur,descriptions_general
178.0,amazed,adjective,B1,stupéfié,descriptions_general
179.0,amazing,adjective,A1,,descriptions_general
180.0,ambassador,noun,C1,ambassadeur/ambassadrice,general
181.0,ambition,noun,B1,ambition,general
182.0,ambitious,adjective,B1,ambitieux,emotions_qualities
183.0,ambulance,noun,B2,ambulance,general
184.0,amend,verb,C1,amender,actions_general
185.0,amendment,noun,C1,amendement,general
186.0,amid,preposition,C1,,grammar_function_words
187.0,among,preposition,A2,,grammar_function_words
188.0,amount,"noun, verb",A2,somme,actions_general
189.0,amusing,adjective,B2,drôle,descriptions_general
190.0,analogy,noun,C1,analogie,general
191.0,analyse,verb,B1,analyser,actions_general
192.0,analysis,noun,B1,analyse,education_academic
193.0,analyst,noun,B2,analyste,general
194.0,ancestor,noun,B2,ancêtre,general
195.0,anchor,noun,C1,ancre,general
196.0,ancient,adjective,A2,ancien,descriptions_general
197.0,and,conjunction,A1,et,grammar_function_words
198.0,angel,noun,C1,ange,general
199.0,anger,noun,B2,colère,general
200.0,angle,noun,B2,angle,general
201.0,angrily,adverb,,furieusement,descriptions_general
202.0,angry,adjective,A1,,emotions_qualities
203.0,animal,noun,A1,animal,nature_animals
204.0,animation,noun,B2,animation,general
205.0,ankle,noun,A2,cheville,general
206.0,anniversary,noun,B2,anniversaire,general
207.0,announce,verb,B1,annoncer,communication_language
208.0,announcement,noun,B1,annonce,communication_language
209.0,annoy,verb,B1,énerver,actions_general
210.0,annoyed,adjective,B1,,descriptions_general
211.0,annoying,adjective,B1,agaçant,descriptions_general
212.0,annual,adjective,B2,annuel,descriptions_general
213.0,annually,adverb,B2,annuellement,descriptions_general
214.0,anonymous,adjective,C1,anonyme,descriptions_general
215.0,another,"determiner, pronoun",A1,un autre,grammar_function_words
216.0,answer,"noun, verb",A1,réponse,communication_language
217.0,anticipate,verb,B2,anticiper,actions_general
218.0,anxiety,noun,B2,anxiété,health_body
219.0,anxious,adjective,B2,anxieux,emotions_qualities
220.0,any,"adverb, determiner, pronoun",A1,quelconque,descriptions_general
221.0,any more,adverb,A2,,descriptions_general
222.0,anybody,pronoun,A2,,grammar_function_words
223.0,anyone,pronoun,A1,,grammar_function_words
224.0,anything,pronoun,A1,n’importe quoi,grammar_function_words
225.0,anyway,adverb,A2,d’ailleurs,descriptions_general
226.0,anywhere,"adverb, pronoun",A2,n’importe où,descriptions_general
227.0,apart,adverb,B1,à part,descriptions_general
228.0,apartment,noun,A1,appartement,home_daily_life
229.0,apologize,verb,B1,s’excuser,actions_general
230.0,apology,noun,B2,excuse,general
231.0,app,noun,A2,appli,technology_data
232.0,apparatus,noun,C1,appareil,general
233.0,apparent,adjective,B2,apparent,descriptions_general
234.0,apparently,adverb,B2,apparemment,descriptions_general
235.0,appeal,"noun, verb",B2,appel,actions_general
236.0,appealing,adjective,C1,attractif,descriptions_general
237.0,appear,verb,A2,apparaître,actions_general
238.0,appearance,noun,A2,apparence,general
239.0,appetite,noun,C1,appétit,general
240.0,applaud,verb,C1,applaudir,actions_general
241.0,apple,noun,A1,pomme,home_daily_life
242.0,applicable,adjective,C1,applicable,descriptions_general
243.0,applicant,noun,B2,,work_career
244.0,application,noun,B1,appli,work_career
245.0,apply,verb,A2,postuler / appliquer,actions_general
246.0,appoint,verb,C1,nommer / désigner,actions_general
247.0,appointment,noun,B1,rendez-vous,general
248.0,appreciate,verb,B1,apprécier,actions_general
249.0,appreciation,noun,C1,appréciation,general
250.0,approach,"noun, verb",B2,approche,actions_general
251.0,appropriate,adjective,B2,approprié,descriptions_general
252.0,appropriately,adverb,B2,de façon appropriée / convenablement,descriptions_general
253.0,approval,noun,B2,approbation,general
254.0,approve,verb,B2,approuver,actions_general
255.0,approximately,adverb,B1,approximativement,descriptions_general
256.0,april,noun,A1,avril,general
257.0,arbitrary,adjective,C1,arbitraire,descriptions_general
258.0,architect,noun,A2,architecte,general
259.0,architectural,adjective,C1,architectural,descriptions_general
260.0,architecture,noun,A2,architecture,general
261.0,archive,noun,C1,archives,general
262.0,area,noun,A1,zone,general
263.0,arena,noun,C1,arène,general
264.0,arguably,adverb,C1,,descriptions_general
265.0,argue,verb,A2,se disputer / soutenir que,actions_general
266.0,argument,noun,A2,argument,communication_language
267.0,arise,verb,B2,surgir,actions_general
268.0,arm,"noun, verb",A1,bras,health_body
269.0,armed,adjective,B2,armé,descriptions_general
270.0,arms,noun,B2,,general
271.0,army,noun,A2,armée,general
272.0,around,"adverb, preposition",A1,autour,descriptions_general
273.0,arrange,verb,A2,arranger,actions_general
274.0,arrangement,noun,A2,arrangement,general
275.0,array,noun,C1,tableau,general
276.0,arrest,"noun, verb",B1,arrestation,law_politics
277.0,arrival,noun,B1,arrivée,general
278.0,arrive,verb,A1,arriver,actions_general
279.0,arrow,noun,B2,flèche,general
280.0,art,noun,A1,art,arts_media_sport
281.0,article,noun,A1,article,general
282.0,articulate,verb,C1,articuler,actions_general
283.0,artificial,adjective,B2,artificiel,descriptions_general
284.0,artist,noun,A1,artiste,arts_media_sport
285.0,artistic,adjective,B2,artistique,descriptions_general
286.0,artwork,noun,B2,ouvrage d’art,general
287.0,as,"adverb, conjunction, preposition",A1,comme / en tant que,descriptions_general
288.0,ash,noun,C1,cendre,general
289.0,ashamed,adjective,B2,honteux,emotions_qualities
290.0,aside,adverb,B2,,descriptions_general
291.0,ask,verb,A1,demander,communication_language
292.0,asleep,adjective,A2,endormi,descriptions_general
293.0,aspect,noun,B2,aspect,general
294.0,aspiration,noun,C1,aspiration,general
295.0,aspire,verb,C1,aspirer,actions_general
296.0,assassination,noun,C1,assassinat,general
297.0,assault,"noun, verb",C1,assaut,actions_general
298.0,assemble,verb,C1,assembler,actions_general
299.0,assembly,noun,C1,assemblée,general
300.0,assert,verb,C1,affirmer / soutenir,actions_general
301.0,assertion,noun,C1,assertion,general
302.0,assess,verb,B2,évaluer,actions_general
303.0,assessment,noun,B2,estimation,general
304.0,asset,noun,B2,actif,finance_trading
305.0,assign,verb,B2,assigner,actions_general
306.0,assignment,noun,B1,tâche,general
307.0,assist,verb,B1,assister,actions_general
308.0,assistance,noun,B2,assistance,general
309.0,assistant,"adjective, noun",A2,assistant,descriptions_general
310.0,associate,verb,B2,relier,actions_general
311.0,associated,adjective,B2,,descriptions_general
312.0,association,noun,B2,association,general
313.0,assume,verb,B2,assumer,actions_general
314.0,assumption,noun,B2,hypothèse,general
315.0,assurance,noun,C1,assurance,general
316.0,assure,verb,B2,assurer,actions_general
317.0,astonishing,adjective,B2,,descriptions_general
318.0,asylum,noun,C1,asile,general
319.0,at,preposition,A1,à,grammar_function_words
320.0,athlete,noun,A2,athlète,general
321.0,atmosphere,noun,B1,atmosphère,general
322.0,atrocity,noun,C1,atrocité,general
323.0,attach,verb,B1,attacher,actions_general
324.0,attachment,noun,B2,attache,general
325.0,attack,"noun, verb",A2,attaque,actions_general
326.0,attain,verb,C1,parvenir,actions_general
327.0,attempt,"noun, verb",B2,tentative,actions_general
328.0,attend,verb,A2,assister,actions_general
329.0,attendance,noun,C1,présence,general
330.0,attention,"exclamation, noun",A2,attention,grammar_function_words
331.0,attitude,noun,B1,attitude,emotions_qualities
332.0,attorney,noun,C1,défenseur,general
333.0,attract,verb,B1,attraire,actions_general
334.0,attraction,noun,B1,attrait,general
335.0,attractive,adjective,A2,attrayant,descriptions_general
336.0,attribute,"noun, verb",C1,attribut,actions_general
337.0,auction,noun,B2,vente aux enchères,finance_trading
338.0,audience,noun,A2,audience,general
339.0,audio,adjective,B2,,descriptions_general
340.0,audit,noun,C1,audit / vérification (comptable),general
341.0,august,noun,A1,août,general
342.0,aunt,noun,A1,tante,general
343.0,authentic,adjective,C1,authentique,descriptions_general
344.0,author,noun,A2,auteur,general
345.0,authority,noun,B1,autorité,general
346.0,authorize,verb,C1,autoriser,actions_general
347.0,auto,noun,C1,auto,general
348.0,automatic,adjective,B2,automatique,descriptions_general
349.0,automatically,adverb,B2,automatiquement,descriptions_general
350.0,autonomy,noun,C1,autonomie,general
351.0,autumn,noun,A1,automne,general
352.0,availability,noun,C1,disponibilité,general
353.0,available,adjective,A2,disponible,descriptions_general
354.0,average,"adjective, noun, verb",A2,moyen,descriptions_general
355.0,avoid,verb,A2,éviter,actions_general
356.0,await,verb,C1,attendre,actions_general
357.0,award,"noun, verb",A2,prix,actions_general
358.0,aware,adjective,B1,conscient,descriptions_general
359.0,awareness,noun,B2,conscience,general
360.0,away,adverb,A1,loin,descriptions_general
361.0,awful,adjective,A2,horrible,descriptions_general
362.0,awkward,adjective,B2,maladroit / gênant,descriptions_general
363.0,baby,noun,A1,bébé,home_daily_life
364.0,back,"adjective, adverb, noun, verb",A1,dos / retour,descriptions_general
365.0,backdrop,noun,C1,toile de fond,general
366.0,background,noun,A2,fond,general
367.0,backing,noun,C1,soutien,general
368.0,backup,noun,C1,sauvegarde,general
369.0,backwards,adverb,B1,en arrière,descriptions_general
370.0,bacteria,noun,B2,bactérie,general
371.0,bad,adjective,A1,mauvais,emotions_qualities
372.0,badge,noun,B2,insigne,general
373.0,badly,adverb,A2,mal,descriptions_general
374.0,bag,noun,A1,sac,home_daily_life
375.0,bail,noun,C1,caution / liberté sous caution,general
376.0,bake,verb,B1,,actions_general
377.0,balance,"noun, verb",B1,balance,actions_general
378.0,balanced,adjective,B2,pondéré,descriptions_general
379.0,ball,noun,A1,ballon,general
380.0,ballet,noun,B2,ballet,general
381.0,balloon,noun,B2,ballon,general
382.0,ballot,noun,C1,scrutin,general
383.0,ban,"noun, verb",B1,interdiction,actions_general
384.0,banana,noun,A1,banane,home_daily_life
385.0,band,noun,A1,bande,general
386.0,bank,noun,A1,banque,finance_trading
387.0,banner,noun,C1,bannière,general
388.0,bar,"noun, verb",A2,barre / bar,actions_general
389.0,bare,adjective,C1,nu / dénudé,descriptions_general
390.0,barely,adverb,B2,à peine,descriptions_general
391.0,bargain,noun,B2,aubaine,general
392.0,barrel,noun,C1,baril,general
393.0,barrier,noun,B2,barrière,general
394.0,base,"noun, verb",B1,base,actions_general
395.0,baseball,noun,A2,baseball,general
396.0,based,adjective,A2,,descriptions_general
397.0,basement,noun,B2,cave,general
398.0,basic,adjective,B1,basique,descriptions_general
399.0,basically,adverb,B2,basiquement,descriptions_general
400.0,basis,noun,B1,base,general
401.0,basket,noun,B2,panier,general
402.0,basketball,noun,A2,basket,arts_media_sport
403.0,bass,noun,C1,basse,general
404.0,bat,"noun, verb",B2,batte,actions_general
405.0,bath,noun,A1,bain,home_daily_life
406.0,bathroom,noun,A1,salle de bain,home_daily_life
407.0,battery,noun,B1,batterie,general
408.0,battle,"noun, verb",B1,combat,actions_general
409.0,battlefield,noun,C1,champ de bataille,general
410.0,bay,noun,C1,baie,general
411.0,be,"verb, auxiliary verb",A1,être,actions_general
412.0,beach,noun,A1,plage,nature_animals
413.0,beam,noun,C1,poutre,general
414.0,bean,noun,A2,haricot,general
415.0,bear,"noun, verb",A2,ours,nature_animals
416.0,beast,noun,C1,bête / animal,general
417.0,beat,"noun, verb",A2,rythme,actions_general
418.0,beautiful,adjective,A1,beau,emotions_qualities
419.0,beauty,noun,B1,beauté,general
420.0,because,conjunction,A1,,grammar_function_words
421.0,become,verb,A1,devenir,actions_general
422.0,bed,noun,A1,lit,home_daily_life
423.0,bedroom,noun,A1,chambre,home_daily_life
424.0,bee,noun,B1,abeille,nature_animals
425.0,beef,noun,A2,bœuf,general
426.0,beer,noun,A1,bière,general
427.0,before,"adverb, conjunction, preposition",A1,avant,descriptions_general
428.0,beg,verb,B2,supplier,actions_general
429.0,begin,verb,A1,commencer,actions_general
430.0,beginning,noun,A1,début,general
431.0,behalf,noun,C1,soutien,general
432.0,behave,verb,A2,se conduire,actions_general
433.0,behaviour,noun,A2,comportement,general
434.0,behind,"adverb, preposition",A1,derrière,descriptions_general
435.0,being,noun,B2,être,general
436.0,belief,noun,B1,croyance,general
437.0,believe,verb,A1,croire,actions_general
438.0,bell,noun,B1,sonnette,general
439.0,belong,verb,A2,appartenir,actions_general
440.0,beloved,adjective,C1,cher,descriptions_general
441.0,below,"adverb, preposition",A1,dessous,descriptions_general
442.0,belt,noun,A2,ceinture,general
443.0,bench,noun,C1,banc,general
444.0,benchmark,noun,C1,test de performance,general
445.0,bend,"noun, verb",B1,courbe,actions_general
446.0,beneath,preposition,C1,dessous,grammar_function_words
447.0,beneficial,adjective,B2,bénéfique,descriptions_general
448.0,beneficiary,noun,C1,bénéficiaire,general
449.0,benefit,"noun, verb",A2,bénéfice,actions_general
450.0,bent,adjective,B2,courbe,descriptions_general
451.0,beside,preposition,B2,à côté de,grammar_function_words
452.0,besides,"adverb, preposition",B2,d’ailleurs,descriptions_general
453.0,best,"adjective, adverb, noun",A1,meilleur,descriptions_general
454.0,bet,"noun, verb",B2,pari,actions_general
455.0,betray,verb,C1,trahir,actions_general
456.0,better,"adjective, adverb, noun",A1,meilleur,descriptions_general
457.0,between,"adverb, preposition",A1,,descriptions_general
458.0,beyond,"adverb, preposition",B2,au-delà de,descriptions_general
459.0,bias,noun,B2,préjugé,general
460.0,bicycle,noun,A1,bicyclette,travel_transport
461.0,bid,"noun, verb",B2,offre,finance_trading
462.0,big,adjective,A1,grand,descriptions_general
463.0,bike,noun,A1,bicyclette,travel_transport
464.0,bill,"noun, verb",A1,facture,actions_general
465.0,billion,number,A2,milliard,grammar_function_words
466.0,bin,noun,A2,poubelle,general
467.0,bind,verb,C1,relier,actions_general
468.0,biography,noun,C1,biographie,general
469.0,biological,adjective,B2,biologique,descriptions_general
470.0,biology,noun,A2,biologie,education_academic
471.0,bird,noun,A1,oiseau,nature_animals
472.0,birth,noun,A2,naissance,general
473.0,birthday,noun,A1,fête,general
474.0,biscuit,noun,A2,biscuit,general
475.0,bishop,noun,C1,évêque,general
476.0,bit,noun,A2,morceau,general
477.0,bite,"noun, verb",B1,morsure,actions_general
478.0,bitter,adjective,B2,amer,descriptions_general
479.0,bizarre,adjective,C1,bizarre,descriptions_general
480.0,black,"adjective, noun",A1,noir,descriptions_general
481.0,blade,noun,C1,lame,general
482.0,blame,"noun, verb",B2,reproche / faute,actions_general
483.0,blank,"adjective, noun",A2,vierge,descriptions_general
484.0,blanket,noun,B2,couverture,general
485.0,blast,"noun, verb",C1,explosion / souffle,actions_general
486.0,bleed,verb,C1,saigner,actions_general
487.0,blend,"noun, verb",C1,mélange / mélanger,actions_general
488.0,bless,verb,C1,bénir,actions_general
489.0,blessing,noun,C1,bénédiction,general
490.0,blind,adjective,B2,aveugle,descriptions_general
491.0,block,"noun, verb",B1,bloc,actions_general
492.0,blog,noun,A1,blogue,general
493.0,blonde,adjective,A1,,descriptions_general
494.0,blood,noun,A2,sang,health_body
495.0,blow,"noun, verb",A2,soufflement,actions_general
496.0,blue,"adjective, noun",A1,bleu,descriptions_general
497.0,board,"noun, verb",A2,tableau,actions_general
498.0,boast,verb,C1,,actions_general
499.0,boat,noun,A1,embarcation,travel_transport
500.0,body,noun,A1,corps,health_body
501.0,boil,verb,A2,bouillir,actions_general
502.0,bold,adjective,B2,vaillant,descriptions_general
503.0,bomb,"noun, verb",B1,bombe,actions_general
504.0,bombing,noun,B2,bombardement,general
505.0,bond,noun,B2,obligation,finance_trading
506.0,bone,noun,A2,os,health_body
507.0,bonus,noun,C1,bonus,general
508.0,book,"noun, verb",A1,livre,education_academic
509.0,booking,noun,B2,réservation,general
510.0,boom,noun,C1,boum,general
511.0,boost,"noun, verb",B2,booster,actions_general
512.0,boot,noun,A1,botte,general
513.0,border,"noun, verb",B1,bordure,actions_general
514.0,bored,adjective,A1,,descriptions_general
515.0,boring,adjective,A1,ennuyeux,descriptions_general
516.0,born,verb,A1,naître,actions_general
517.0,borrow,verb,A2,emprunter,actions_general
518.0,boss,noun,A2,patron,general
519.0,both,"determiner, pronoun",A1,à la fois,grammar_function_words
520.0,bother,verb,B1,perturber,actions_general
521.0,bottle,noun,A1,bouteille,general
522.0,bottom,"adjective, noun",A2,fond,descriptions_general
523.0,bounce,verb,C1,rebondir,actions_general
524.0,bound,adjective,B2,borne,descriptions_general
525.0,boundary,noun,C1,frontière / limite,general
526.0,bow,"noun, verb",C1,arc / nœud / proue,actions_general
527.0,bowl,noun,A2,bol / coupe,general
528.0,box,noun,A1,boîte,general
529.0,boy,noun,A1,garçon,general
530.0,boyfriend,noun,A1,petit copain,general
531.0,brain,noun,A2,cerveau,health_body
532.0,branch,noun,B1,branche,general
533.0,brand,"noun, verb",B1,marque,actions_general
534.0,brave,adjective,B1,brave,emotions_qualities
535.0,breach,"noun, verb",C1,violation,actions_general
536.0,bread,noun,A1,pain,home_daily_life
537.0,break,"noun, verb",A1,repos,actions_general
538.0,breakdown,noun,C1,panne,general
539.0,breakfast,noun,A1,déjeuner,home_daily_life
540.0,breakthrough,noun,C1,,general
541.0,breast,noun,B2,sein,general
542.0,breath,noun,B1,souffle,general
543.0,breathe,verb,B1,souffler,actions_general
544.0,breathing,noun,B1,expiration,general
545.0,breed,"noun, verb",C1,élever,actions_general
546.0,brick,noun,B2,brique,general
547.0,bride,noun,B1,marié,general
548.0,bridge,noun,A2,pont,general
549.0,brief,adjective,B2,court,descriptions_general
550.0,briefly,adverb,B2,succinctement,descriptions_general
551.0,bright,adjective,A2,vif,descriptions_general
552.0,brilliant,adjective,A2,brillant,descriptions_general
553.0,bring,verb,A1,apporter / amener,actions_general
554.0,broad,adjective,B2,large,descriptions_general
555.0,broadband,noun,C1,bande passante,general
556.0,broadcast,"noun, verb",B2,radiodiffusion,actions_general
557.0,broadcaster,noun,B2,,general
558.0,broadly,adverb,B2,globalement / en général,descriptions_general
559.0,broken,adjective,A2,cassé,descriptions_general
560.0,brother,noun,A1,frère,home_daily_life
561.0,brown,"adjective, noun",A1,marron,descriptions_general
562.0,browser,noun,C1,navigateur,technology_data
563.0,brush,"noun, verb",A2,brosser,actions_general
564.0,brutal,adjective,C1,brutal,descriptions_general
565.0,bubble,noun,B1,bulle,general
566.0,buck,noun,C1,mâle (animal) / dollar (argent),general
567.0,buddy,noun,C1,pote,general
568.0,budget,noun,B2,budget,finance_trading
569.0,buffer,noun,C1,tampon,general
570.0,bug,noun,B2,mouchard,general
571.0,build,verb,A1,construire,actions_general
572.0,building,noun,A1,immeuble,general
573.0,bulk,noun,C1,vrac,general
574.0,bullet,noun,B2,balle,general
575.0,bunch,noun,B2,trousseau,general
576.0,burden,noun,C1,fardeau / charge,general
577.0,bureaucracy,noun,C1,bureaucratie,general
578.0,burial,noun,C1,obsèques,general
579.0,burn,"noun, verb",A2,brûlure,actions_general
580.0,burst,verb,C1,péter,actions_general
581.0,bury,verb,B1,enterrer,actions_general
582.0,bus,noun,A1,bus,travel_transport
583.0,bush,noun,B2,touffe,general
584.0,business,noun,A1,entreprise/affaires,finance_trading
585.0,businessman,noun,A2,marchand,work_career
586.0,busy,adjective,A1,occupé,descriptions_general
587.0,but,"conjunction, preposition",A1,mais,grammar_function_words
588.0,butter,noun,A1,beurre,home_daily_life
589.0,button,noun,A2,bouton,general
590.0,buy,verb,A1,acheter,actions_general
591.0,by,"adverb, preposition",A1,par / de,descriptions_general
592.0,bye,exclamation,A1,salut,grammar_function_words
593.0,cabin,noun,B2,cabine,general
594.0,cabinet,noun,C1,cabinet,general
595.0,cable,noun,B2,câble,general
596.0,cafe,noun,A1,,general
